track,artist,release,explicit,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,pitches,Timbre,CS,start,Y
"2 Dollar Bill (feat. Lil Wayne, E-40)",2 Chainz,2019-03-01,1,spotify:track:5TTLIG6IKMMcLR3iLYHHYb,0.372,0.845,0.23,0.746,0.0,0.909,0.023,0.86,0.0,0.169,0.324,0.75,0.673,0.451,0.158,0.887,0.702,1.14
When I'm Wasted,Lil Skies,2019-03-01,1,spotify:track:2pzlvIwI67SEfjLwkZISh8,0.074,0.705,0.187,0.644,0.0,0.818,0.32,0.826,0.0,0.14,0.275,0.75,0.721,0.522,0.12,0.882,0.702,1.17
4 Phones,Rich The Kid,2019-03-22,1,spotify:track:2uev0LUP98t1npGu4GkaVT,0.028,0.935,0.205,0.524,0.0,0.091,0.087,0.824,1.0,0.144,0.573,0.75,0.183,0.235,0.335,0.908,0.702,1.256
Time (is),Solange,2019-03-01,0,spotify:track:6l82XaHZyodfRvNo85Pdqr,0.848,0.413,0.208,0.15,0.608,0.0,0.149,0.676,1.0,0.022,0.416,0.5,0.371,0.164,0.584,0.643,0.702,1.185
Girl's Best Friend (feat. Ty Dolla $ign),2 Chainz,2019-03-01,1,spotify:track:4cbF3gEX2IZfvt58zQXqvN,0.007,0.901,0.178,0.427,0.136,0.818,0.081,0.78,1.0,0.062,0.317,0.75,0.498,0.287,0.15,0.937,0.702,1.134
Pimpin Ain't Eazy,Kodak Black,2019-03-01,1,spotify:track:5FxKZ4IajYIRDjAWAboiB4,0.313,0.594,0.161,0.502,0.0,0.0,0.09,0.736,1.0,0.497,0.499,0.75,0.154,0.279,0.099,0.864,0.702,1.133
My Skin My Logo,Solange,2019-03-01,0,spotify:track:2S8sebSU3YRqFdD7IZw7le,0.293,0.691,0.159,0.286,0.001,0.727,0.223,0.749,1.0,0.244,0.205,0.5,0.522,0.543,0.383,0.906,0.702,1.115
Through the Motions,Lil Skies,2019-03-01,1,spotify:track:3XVT8VNy0vpvTbFPQaBSZN,0.037,0.659,0.175,0.622,0.0,0.545,0.067,0.751,0.0,0.084,0.695,0.75,0.231,0.388,0.225,0.895,0.702,1.084
Binz,Solange,2019-03-01,1,spotify:track:7yvdp8dqmxExSJwT2fn6Xq,0.102,0.858,0.089,0.629,0.0,0.727,0.153,0.812,1.0,0.308,0.22,0.75,0.451,0.376,0.116,0.963,0.702,1.084
Mansion,Lil Skies,2019-03-01,1,spotify:track:49ImM4CYsEL5KG1hzUaCzq,0.024,0.674,0.135,0.805,0.0,0.091,0.139,0.811,1.0,0.252,0.683,0.75,0.741,0.457,0.152,0.934,0.702,1.064
Flux,Ellie Goulding,2019-03-01,0,spotify:track:4zb3kFL9fXrrfTwIY4CcDy,0.84,0.443,0.219,0.464,0.0,0.0,0.193,0.825,1.0,0.005,0.275,0.75,0.289,0.286,0.072,0.812,0.702,1.04
To Noise Making (Sing),Hozier,2019-03-01,1,spotify:track:5in02YJDTkdfKDQjfsvxYp,0.134,0.564,0.194,0.558,0.0,0.0,0.608,0.773,1.0,0.061,0.314,0.75,0.566,0.467,0.202,0.877,0.702,1.039
Jerrod,Solange,2019-03-01,0,spotify:track:6ZDQdAeTYt13V67K7LJXDv,0.922,0.311,0.166,0.247,0.029,0.273,0.088,0.71,0.0,0.014,0.403,0.5,0.201,0.176,0.067,0.649,0.702,1.006
Old Town Road,Lil Nas X,2019-06-21,0,spotify:track:2YpeDb67231RjR0MgVLzsG,0.054,0.877,0.139,0.623,0.0,0.545,0.097,0.834,1.0,0.084,0.537,0.75,0.642,0.278,0.231,0.985,0.703,4.17
Act Up,City Girls,2018-11-16,1,spotify:track:3A2yGHWIzmGEIolwonU69h,0.017,0.95,0.14,0.643,0.0,0.727,0.095,0.859,1.0,0.176,0.3,0.75,0.301,0.528,0.061,0.958,0.703,1.5
Worth It,YK Osiris,2019-02-08,0,spotify:track:4XiGKQqbmnMVxDzUj6j3f2,0.471,0.739,0.174,0.53,0.0,0.455,0.063,0.877,0.0,0.038,0.463,1.0,0.415,0.276,0.193,0.905,0.703,1.286
wish you were gay,Billie Eilish,2019-03-29,0,spotify:track:3Fj47GNK2kUF0uaEDgXLaD,0.392,0.846,0.21,0.347,0.0,0.636,0.776,0.701,1.0,0.231,0.427,0.75,0.268,0.395,0.128,0.883,0.704,4.293
CROWN,TOMORROW X TOGETHER,2019-03-04,0,spotify:track:32h6yQGn4oAhZ0HRsTMX26,0.051,0.568,0.22,0.809,0.0,0.455,0.043,0.827,1.0,0.021,0.385,0.75,0.581,0.508,0.134,0.972,0.705,1.019
My Bad,Khalid,2019-03-07,0,spotify:track:1DUSuNhF8P5vUGNPpQiZa5,0.547,0.595,0.149,0.57,0.278,0.455,0.25,0.732,0.0,0.063,0.227,0.75,0.382,0.416,0.02,0.869,0.707,3.064
Fast,Juice WRLD,2019-03-08,1,spotify:track:6MjNilJCVKJq0LfFvo5jWJ,0.429,0.569,0.195,0.612,0.0,0.091,0.089,0.824,0.0,0.022,0.227,0.75,0.248,0.354,0.331,0.855,0.708,3.273
Empty,Juice WRLD,2019-03-08,1,spotify:track:41MCdlvXOl62B7Kv86Bb1v,0.076,0.717,0.239,0.563,0.0,0.0,0.118,0.854,1.0,0.061,0.181,0.75,0.443,0.327,0.144,0.906,0.708,2.339
Maze,Juice WRLD,2019-03-08,1,spotify:track:4mUIe9gfsdtsVP2zFIl74x,0.127,0.631,0.125,0.733,0.0,1.0,0.099,0.885,0.0,0.125,0.683,0.75,0.437,0.495,0.278,0.875,0.708,1.909
HeMotions,Juice WRLD,2019-03-08,1,spotify:track:6phY2gnvf9WwCiXlLMQOY3,0.672,0.494,0.172,0.768,0.0,0.182,0.09,0.787,1.0,0.256,0.707,0.75,0.305,0.469,0.13,0.911,0.708,1.782
Make Believe,Juice WRLD,2019-03-08,1,spotify:track:6eiztdXRkooWsBt2xToMWI,0.126,0.379,0.123,0.85,0.0,0.0,0.124,0.869,1.0,0.052,0.22,0.75,0.677,0.491,0.129,0.882,0.708,2.277
Flaws And Sins,Juice WRLD,2019-03-08,1,spotify:track:2BSbCCbaSCzkOEZa6N5901,0.01,0.673,0.206,0.667,0.0,0.727,0.092,0.864,1.0,0.057,0.623,0.75,0.433,0.394,0.134,0.978,0.708,1.639
Big,Juice WRLD,2019-03-08,1,spotify:track:4rWC4tiO4NCwRHdh6vyu6b,0.063,0.744,0.212,0.646,0.0,1.0,0.074,0.816,0.0,0.097,0.591,0.75,0.215,0.298,0.124,0.852,0.708,1.75
Feeling,Juice WRLD,2019-03-08,1,spotify:track:2Jh3UqxnHJMyzMzku4uOtE,0.235,0.677,0.188,0.516,0.0,0.909,0.195,0.822,0.0,0.067,0.683,0.75,0.563,0.269,0.201,0.886,0.708,1.408
Demonz (feat. Brent Faiyaz) - Interlude,Juice WRLD,2019-03-08,1,spotify:track:5ZOEulH7fvK4ZkMLTOyKL0,0.27,0.423,0.071,0.304,0.292,0.545,0.112,0.666,1.0,0.039,0.741,0.0,0.161,0.213,0.143,0.696,0.708,1.613
Here With Me,Marshmello,2019-03-08,0,spotify:track:5icOoE6VgqFKohjWWNp0Ac,0.063,0.772,0.138,0.567,0.0,0.455,0.143,0.881,0.0,0.022,0.317,0.75,0.162,0.313,0.206,0.89,0.708,3.009
Who Shot Cupid?,Juice WRLD,2019-03-08,1,spotify:track:06LFFPPS7MylCZXps3cO4m,0.056,0.732,0.202,0.945,0.0,0.273,0.08,0.914,1.0,0.015,0.476,0.75,0.593,0.51,0.104,0.969,0.708,1.489
Ring Ring (with Rvssian feat. Clever),Juice WRLD,2019-03-08,1,spotify:track:4zxpssj8DyrfZcEUSUiNxG,0.077,0.518,0.155,0.678,0.0,0.0,0.402,0.867,0.0,0.034,0.684,0.75,0.624,0.378,0.174,0.83,0.708,1.593
Syphilis,Juice WRLD,2019-03-08,1,spotify:track:4dOmgE4ULbySxpeGObN8RL,0.07,0.761,0.111,0.664,0.0,0.091,0.156,0.905,1.0,0.239,0.61,0.75,0.325,0.354,0.062,0.943,0.708,1.585
ON GOD (feat. Young Thug),Juice WRLD,2019-03-08,1,spotify:track:572BChNcXOIvtfn2TGmTKc,0.093,0.779,0.241,0.729,0.0,0.455,0.096,0.815,0.0,0.039,0.598,0.75,0.327,0.349,0.142,0.915,0.708,1.506
Desire,Juice WRLD,2019-03-08,1,spotify:track:15LOSQ3z91ZB2wMiMhiCjZ,0.107,0.538,0.175,0.776,0.0,0.091,0.091,0.859,0.0,0.027,0.61,0.75,0.187,0.349,0.078,0.852,0.708,1.51
Out My Way,Juice WRLD,2019-03-08,1,spotify:track:0baYVkFX4vIXXmIuHRWXDN,0.108,0.618,0.138,0.842,0.0,0.909,0.801,0.904,0.0,0.336,0.708,0.75,0.495,0.495,0.156,0.831,0.708,1.466
The Bees Knees,Juice WRLD,2019-03-08,1,spotify:track:6LkawpJyy0TZJ6Z41gMVyy,0.126,0.332,0.324,0.731,0.0,0.0,0.773,0.858,1.0,0.065,0.562,0.75,0.276,0.436,0.117,0.824,0.708,1.454
10 Feet,Juice WRLD,2019-03-08,1,spotify:track:4Z9cAwlkruSbWblPBthygg,0.469,0.636,0.199,0.687,0.001,0.545,0.257,0.773,0.0,0.17,0.342,0.75,0.523,0.55,0.179,0.915,0.708,1.381
Won't Let Go,Juice WRLD,2019-03-08,1,spotify:track:4yoQbSPoj8H3O8M3EKvC74,0.057,0.562,0.186,0.8,0.0,0.636,0.225,0.871,1.0,0.031,0.623,0.75,0.657,0.385,0.056,0.982,0.708,1.303
Rider,Juice WRLD,2019-03-08,1,spotify:track:3usM520kfIRpWNaYOwdnYI,0.215,0.521,0.177,0.825,0.0,0.636,0.416,0.872,1.0,0.014,0.562,0.75,0.445,0.393,0.117,0.979,0.708,1.303
She's The One,Juice WRLD,2019-03-08,1,spotify:track:3zM2prB16NRn1zggh1KCY0,0.31,0.567,0.174,0.814,0.0,0.545,0.293,0.836,0.0,0.214,0.659,0.75,0.388,0.503,0.099,0.916,0.708,1.403
Lo/Hi,The Black Keys,2019-06-28,0,spotify:track:25YlltWXRb9k7KbrEBRuhJ,0.015,0.548,0.162,0.685,0.0,0.182,0.079,0.78,1.0,0.01,0.452,0.75,0.714,0.434,0.047,0.936,0.708,1.557
A Song for Everything,Maren Morris,2019-03-08,0,spotify:track:69fiYWZsqPB7BVhJJODKQJ,0.16,0.515,0.18,0.571,0.0,0.091,0.089,0.768,1.0,0.013,0.318,0.75,0.169,0.348,0.128,0.906,0.708,1.377
The Bones,Maren Morris,2019-03-08,0,spotify:track:3npzogdOEiVsieXmmhBepL,0.281,0.556,0.183,0.572,0.0,1.0,0.079,0.803,0.0,0.013,0.178,0.75,0.324,0.354,0.079,0.834,0.708,1.839
Have Mercy,YBN Cordae,2019-07-26,1,spotify:track:0GwYkXgQdqY4dyRffHw3HT,0.081,0.775,0.189,0.439,0.0,0.0,0.187,0.768,0.0,0.115,0.549,0.75,0.262,0.23,0.312,0.84,0.709,1.005
Undrunk,FLETCHER,2019-08-16,1,spotify:track:1Pj5oOFzLYELyyeh1IYRK0,0.492,0.557,0.168,0.581,0.0,0.455,0.111,0.808,1.0,0.064,0.268,0.75,0.55,0.402,0.265,0.965,0.711,1.568
Numb Numb Juice,ScHoolboy Q,2019-04-26,1,spotify:track:6tByydPskASjm9jTPkNQq0,0.002,0.886,0.084,0.492,0.0,0.091,0.063,0.821,1.0,0.365,0.665,0.75,0.185,0.289,0.417,0.889,0.713,1.925
Every Season,Roddy Ricch,2018-11-02,1,spotify:track:1ttPzkTSpQUFcEGx8bjerL,0.064,0.947,0.202,0.711,0.0,0.455,0.088,0.837,0.0,0.46,0.501,0.75,0.566,0.449,0.268,0.891,0.713,1.051
No New Friends,Sia,2019-04-12,0,spotify:track:6Dma0t0hOe6Bd6u5YRKF3n,0.064,0.693,0.16,0.71,0.0,0.636,0.126,0.861,1.0,0.025,0.354,0.75,0.641,0.467,0.107,0.983,0.714,1.182
Freaky,Tory Lanez,2018-10-26,1,spotify:track:7EAaSaj1OgZgMX5yZyFXFC,0.002,0.983,0.157,0.565,0.0,0.727,0.089,0.829,1.0,0.041,0.348,0.75,0.353,0.172,0.126,0.953,0.714,1.682
Tic Toc (with Tory Lanez),Rich The Kid,2019-03-22,1,spotify:track:2VGD6mGeuv6aORaU0vKsHB,0.039,0.756,0.131,0.649,0.0,0.091,0.099,0.875,1.0,0.103,0.744,0.75,0.193,0.23,0.252,0.919,0.714,1.346
R.I.P. (feat. Rita Ora & Anitta),Sofia Reyes,2019-03-15,1,spotify:track:6JqpFboOH2bq9pzaYbkKBn,0.181,0.739,0.172,0.76,0.0,0.727,0.052,0.888,0.0,0.051,0.318,0.75,0.704,0.435,0.092,0.903,0.714,1.88
Wow. - Remix,Post Malone,2019-03-15,1,spotify:track:0fcq51a3gOI6gPvzc0YLsk,0.149,0.779,0.153,0.645,0.0,1.0,0.199,0.814,0.0,0.181,0.318,0.75,0.482,0.388,0.118,0.873,0.714,1.727
King James,Anderson .Paak,2019-04-12,1,spotify:track:5ri4b7YQp2PWn8tl3MRYgE,0.078,0.748,0.184,0.901,0.0,0.636,0.022,0.766,1.0,0.058,0.367,0.75,0.897,0.687,0.184,0.956,0.714,1.003
Shotta Flow,NLE Choppa,2019-06-20,1,spotify:track:67XyC1GdSkKb9sbRRkUDXS,0.025,0.897,0.16,0.512,0.0,0.182,0.126,0.857,1.0,0.421,0.439,0.75,0.568,0.345,0.142,0.937,0.717,1.312
So Am I,Ava Max,2019-03-07,0,spotify:track:0uUNN1nSoUx1A4fkDCWDQ7,0.074,0.641,0.167,0.661,0.0,0.545,0.352,0.86,1.0,0.022,0.501,0.75,0.609,0.423,0.092,0.985,0.72,1.054
Confessions of a Dangerous Mind,Logic,2019-05-10,1,spotify:track:6yIGZp1AaFBoDczu3b4hVU,0.387,0.79,0.278,0.764,0.0,0.636,0.094,0.877,0.0,0.196,0.573,0.75,0.64,0.547,0.094,0.923,0.72,2.039
Price On My Head (feat. The Weeknd),NAV,2019-03-26,1,spotify:track:4hqOmrCCJKyiuwDexd8c2t,0.386,0.744,0.205,0.576,0.0,0.545,0.334,0.819,0.0,0.12,0.165,0.75,0.264,0.219,0.249,0.891,0.72,1.734
Patience,Tame Impala,2019-03-22,0,spotify:track:2drEUEg0TYQR6dDEHkpuPE,0.002,0.476,0.287,0.871,0.001,0.091,0.033,0.823,1.0,0.008,0.317,0.75,0.649,0.544,0.065,0.906,0.72,1.641
Tap (feat. Meek Mill),NAV,2019-03-26,1,spotify:track:5rU6kDNXZLXIinFezpbWbO,0.065,0.905,0.129,0.681,0.0,0.182,0.069,0.792,1.0,0.242,0.227,0.75,0.446,0.35,0.413,0.939,0.72,1.416
Fall Threw (feat. Young Thug & Gunna),Rich The Kid,2019-03-22,1,spotify:track:4bi9YrkOvmg4Eb7h00AW2c,0.025,0.821,0.175,0.654,0.0,0.091,0.248,0.799,0.0,0.487,0.172,0.75,0.705,0.421,0.235,0.815,0.72,1.516
To My Grave,NAV,2019-03-26,1,spotify:track:0iIUmsrVL2sgGnX33oDsC7,0.014,0.784,0.142,0.641,0.0,0.364,0.307,0.838,0.0,0.024,0.599,0.75,0.193,0.177,0.192,0.885,0.72,1.638
Taking Chances,NAV,2019-03-26,1,spotify:track:0iVWDZhL04DiKgbI1mbC40,0.325,0.844,0.171,0.593,0.0,0.0,0.092,0.848,0.0,0.098,0.586,0.75,0.678,0.206,0.191,0.853,0.72,1.432
Hold Your Breath (feat. Gunna),NAV,2019-03-26,1,spotify:track:5PFfxZ9WezcE8JiUWLsyus,0.138,0.813,0.154,0.688,0.0,0.727,0.107,0.845,1.0,0.203,0.599,0.75,0.497,0.295,0.111,0.994,0.72,1.411
Tussin (feat. Young Thug),NAV,2019-03-26,1,spotify:track:1KAObz8ZfyuMj4YTxHIrfA,0.442,0.616,0.164,0.504,0.0,0.0,0.086,0.802,0.0,0.356,0.701,0.75,0.303,0.284,0.132,0.822,0.72,1.331
Tension,NAV,2019-03-26,1,spotify:track:7l6LAnuiX2o48fwUQIhDNv,0.405,0.715,0.17,0.519,0.0,0.0,0.091,0.776,1.0,0.287,0.573,0.75,0.328,0.41,0.193,0.913,0.72,1.321
Like Mike (feat. Jay Critch & A Boogie wit da Hoodie),Rich The Kid,2019-03-22,1,spotify:track:4gJUBncw0XCMTBHneTjqGx,0.129,0.826,0.144,0.641,0.0,0.727,0.026,0.846,1.0,0.284,0.573,0.75,0.861,0.37,0.103,0.972,0.72,1.4
Ralo,NAV,2019-03-26,1,spotify:track:4m21W5fWeVx63he1dNgGlM,0.301,0.858,0.169,0.485,0.0,0.545,0.093,0.751,0.0,0.386,0.598,0.75,0.516,0.267,0.134,0.899,0.72,1.522
I Don't Belong In This Club,Why Don't We,2019-03-20,0,spotify:track:4Yo1ZTT9D7gUqyzgpVKkhQ,0.02,0.779,0.211,0.545,0.0,1.0,0.054,0.829,1.0,0.022,0.409,0.75,0.144,0.316,0.062,0.909,0.72,1.106
Snap,NAV,2019-03-26,1,spotify:track:0BDDB65zAWJ1nQYyIgnZcj,0.303,0.742,0.153,0.356,0.0,0.091,0.098,0.721,0.0,0.566,0.757,0.75,0.184,0.236,0.145,0.776,0.72,1.433
Why You Crying Mama,NAV,2019-03-26,1,spotify:track:03Q1Tz2OxlA3sRrbXxmG3V,0.427,0.711,0.244,0.453,0.0,0.0,0.09,0.778,1.0,0.416,0.174,0.75,0.404,0.37,0.28,0.878,0.72,1.288
Your Peace (feat. Lil Baby),Jacquees,2019-11-08,1,spotify:track:6uNuT1YKpKjgZOOKiY4Nmf,0.011,0.433,0.168,0.628,0.0,0.545,0.086,0.822,0.0,0.145,0.903,0.75,0.575,0.405,0.166,0.868,0.72,1.26
Time Piece (feat. Lil Durk),NAV,2019-03-26,1,spotify:track:03yX0WgZGT6DM3GNLSu4f1,0.19,0.839,0.193,0.36,0.0,0.727,0.095,0.777,1.0,0.372,0.562,0.75,0.155,0.186,0.203,0.927,0.72,1.239
Tempo (feat. Missy Elliott),Lizzo,2019-04-19,1,spotify:track:6nBQFAIVFmAx2oZ8p6lUg6,0.058,0.822,0.159,0.729,0.0,0.091,0.357,0.834,1.0,0.12,0.36,0.75,0.589,0.521,0.124,0.942,0.72,1.115
I Like Girls (feat. Lil Skies),PnB Rock,2019-05-02,1,spotify:track:7cWh3ScxjhvasLI0CBRoZk,0.326,0.665,0.132,0.784,0.0,0.091,0.098,0.895,1.0,0.239,0.794,0.75,0.795,0.421,0.127,0.942,0.72,1.085
Two Cups (feat. Offset & Big Sean),Rich The Kid,2019-03-22,1,spotify:track:7r62wx5N1cOQxYr6b0p2Bi,0.022,0.815,0.165,0.777,0.0,0.0,0.182,0.863,1.0,0.195,0.275,0.75,0.493,0.47,0.168,0.92,0.72,1.139
Vicodin,NAV,2019-03-26,1,spotify:track:19CWeHbg3Z9XJH4Uzdk6tf,0.336,0.733,0.111,0.539,0.0,0.0,0.153,0.826,1.0,0.344,0.689,0.75,0.286,0.377,0.224,0.91,0.72,1.126
On My Way,Alan Walker,2019-03-21,0,spotify:track:4n7jnSxVLd8QioibtTDBDq,0.021,0.432,0.179,0.695,0.0,0.091,0.297,0.853,0.0,0.084,0.744,0.75,0.284,0.332,0.059,0.838,0.72,1.197
Dior Runners,NAV,2019-03-26,1,spotify:track:1pGcfOz4p1Ds35ICL0lX5k,0.161,0.85,0.149,0.805,0.0,0.364,0.117,0.841,0.0,0.404,0.695,0.75,0.442,0.449,0.347,0.899,0.72,1.077
Walk (Remix),Comethazine,2019-03-18,1,spotify:track:35l8ivgXiWiDCv7TCZ50Da,0.055,0.798,0.171,0.589,0.0,0.182,0.23,0.693,1.0,0.378,0.683,0.75,0.809,0.537,0.139,0.927,0.72,1.041
Pop Out (feat. Lil Tjay),Polo G,2019-06-07,1,spotify:track:6uFn47ACjqYkc0jADwEdj1,0.151,0.749,0.149,0.644,0.0,0.091,0.051,0.789,1.0,0.471,0.733,0.75,0.246,0.329,0.152,0.909,0.721,1.73
Bohemian Trapsody,Logic,2019-03-26,1,spotify:track:7Ii2ALuxW7NkLfQPhV4Rn2,0.013,0.693,0.41,0.848,0.326,0.545,0.084,0.779,0.0,0.009,0.562,0.75,0.407,0.448,0.078,0.874,0.724,1.196
Can I Kick It,Logic,2019-03-26,1,spotify:track:5JDwLHI2YUkFSFSn4g5pGd,0.614,0.769,0.188,0.783,0.001,0.182,0.294,0.868,1.0,0.041,0.318,0.75,0.484,0.512,0.08,0.946,0.724,1.088
Pretty Young Girl,Logic,2019-03-26,1,spotify:track:4Hi4e6G8gvKgbYujB3J4yX,0.207,0.591,0.247,0.642,0.0,0.364,0.34,0.794,1.0,0.013,0.288,0.75,0.386,0.402,0.098,0.969,0.724,1.032
bad guy,Billie Eilish,2019-03-29,0,spotify:track:2Fxmhks0bxGSBdJ92vM42m,0.33,0.664,0.18,0.424,0.136,0.636,0.083,0.678,1.0,0.373,0.531,0.75,0.562,0.561,0.349,0.954,0.727,9.223
all the good girls go to hell,Billie Eilish,2019-03-29,0,spotify:track:6IRdLKIyS4p7XNiP8r6rsx,0.285,0.694,0.152,0.443,0.15,0.727,0.165,0.737,0.0,0.37,0.836,0.75,0.569,0.463,0.167,0.87,0.727,3.456
xanny,Billie Eilish,2019-03-29,0,spotify:track:4QIo4oxwzzafcBWkKjDpXY,0.757,0.446,0.234,0.114,0.002,0.818,0.259,0.48,1.0,0.229,0.388,0.75,0.028,0.235,0.208,0.74,0.727,3.518
my strange addiction,Billie Eilish,2019-03-29,0,spotify:track:3Tc57t9l2O8FwQZtQOvPXK,0.352,0.951,0.164,0.3,0.0,0.727,0.089,0.679,0.0,0.351,0.318,0.75,0.563,0.441,0.133,0.843,0.727,3.425
ilomilo,Billie Eilish,2019-03-29,0,spotify:track:7qEKqBCD2vE5vIBsrUitpD,0.729,0.849,0.138,0.422,0.491,0.455,0.072,0.561,0.0,0.038,0.439,0.75,0.572,0.501,0.464,0.771,0.727,2.529
8,Billie Eilish,2019-03-29,0,spotify:track:6X29iaaazwho3ab7GNue5r,0.703,0.705,0.157,0.228,0.006,0.273,0.091,0.613,1.0,0.31,0.089,0.75,0.457,0.304,0.298,0.834,0.727,2.187
listen before i go,Billie Eilish,2019-03-29,0,spotify:track:0tMSssfxAL2oV8Vri0mFHE,0.942,0.203,0.233,0.043,0.004,0.0,0.389,0.331,1.0,0.023,0.195,0.5,0.059,0.28,0.148,0.449,0.727,2.415
i love you,Billie Eilish,2019-03-29,0,spotify:track:6CcJMwBtXByIz4zQLzFkKc,0.959,0.325,0.286,0.12,0.005,0.0,0.093,0.463,1.0,0.016,0.546,0.75,0.098,0.144,0.278,0.618,0.727,2.621
goodbye,Billie Eilish,2019-03-29,0,spotify:track:3LgWsmilsrWXiPYQFRD0T7,0.843,0.002,0.098,0.128,0.575,0.545,0.247,0.364,0.0,0.029,0.161,0.5,0.025,0.212,0.072,0.312,0.727,1.736
Self,Khalid,2019-04-05,0,spotify:track:1WqLtczgKdbHFHhefOU0y7,0.443,0.563,0.219,0.7,0.794,0.091,0.084,0.767,0.0,0.329,0.586,0.75,0.433,0.57,0.199,0.726,0.727,1.736
Kills You Slowly,The Chainsmokers,2019-12-06,1,spotify:track:2PgMUAn2bBpm8gz6yAXvVL,0.064,0.658,0.201,0.438,0.0,0.091,0.112,0.742,0.0,0.034,0.622,0.75,0.213,0.283,0.218,0.854,0.727,1.459
AINT GOIN BACK,Russ,2019-03-26,1,spotify:track:0Y4L4iWjUH34u2qnois2fI,0.66,0.673,0.153,0.728,0.0,0.455,0.076,0.818,0.0,0.572,0.61,0.75,0.407,0.597,0.07,0.852,0.727,1.177
Die Young,Roddy Ricch,2018-11-02,1,spotify:track:3wLtYwtqvKK2ewelSVPeDK,0.219,0.648,0.14,0.661,0.0,0.364,0.099,0.835,0.0,0.268,0.685,0.75,0.355,0.311,0.132,0.915,0.727,1.159
Friends,Flume,2019-03-27,1,spotify:track:3Y8JSCYjFznthCYb5HZ8lW,0.29,0.575,0.212,0.673,0.0,0.091,0.638,0.824,0.0,0.255,0.554,0.75,0.336,0.427,0.059,0.829,0.727,1.086
Night Running,Cage The Elephant,2019-04-19,0,spotify:track:0wSmZykDgah7GfaUNZUZCb,0.066,0.544,0.195,0.96,0.0,0.364,0.389,0.929,0.0,0.045,0.573,0.75,0.581,0.495,0.051,0.888,0.727,1.022
Te Robare,Nicky Jam,2019-11-01,0,spotify:track:4PJ3umtW1aWdfh5EITHc6T,0.242,0.63,0.188,0.76,0.0,0.182,0.064,0.892,0.0,0.035,0.78,0.75,0.808,0.346,0.053,0.868,0.727,1.052
Baby 8,YBN Nahmir,2019-03-29,1,spotify:track:1AtJv3Zzf4DA9UfX822V6D,0.03,0.609,0.084,0.68,0.0,0.091,0.343,0.721,1.0,0.442,0.7,0.75,0.471,0.487,0.092,0.909,0.728,1.05
Suge,DaBaby,2019-03-01,1,spotify:track:2gwkD6igEhQbDQegRCcdoB,0.061,0.874,0.146,0.667,0.0,0.182,0.112,0.808,0.0,0.427,0.168,0.75,0.857,0.554,0.139,0.823,0.728,1.693
HP,Maluma,2019-05-17,1,spotify:track:1LIqNVhaIgxXUt2eVoIQJ3,0.254,0.827,0.169,0.8,0.0,0.364,0.177,0.904,0.0,0.058,0.268,0.75,0.62,0.454,0.073,0.909,0.728,1.176
Racks in the Middle (feat. Roddy Ricch and Hit-Boy),Nipsey Hussle,2019-02-15,1,spotify:track:6ya8ejoKgw906Y8LWclqrp,0.083,0.628,0.222,0.843,0.0,0.455,0.054,0.846,0.0,0.395,0.191,0.75,0.709,0.57,0.239,0.874,0.729,2.517
Last Time That I Checc'd (feat. YG),Nipsey Hussle,2018-02-16,1,spotify:track:39xWBHPM4E9MwzEy5gbM7p,0.029,0.676,0.214,0.753,0.0,0.091,0.371,0.873,1.0,0.244,0.293,0.75,0.265,0.325,0.175,0.921,0.729,1.575
Double Up (feat. Belly and Dom Kennedy),Nipsey Hussle,2018-02-16,1,spotify:track:4iVD0fTHGxV9JWloujsL3s,0.055,0.546,0.363,0.435,0.0,0.182,0.149,0.755,1.0,0.175,0.366,0.75,0.223,0.412,0.232,0.917,0.729,1.409
Hussle & Motivate,Nipsey Hussle,2018-02-16,1,spotify:track:2hVtGnJeHOo0EqjzYXNFg5,0.004,0.826,0.25,0.788,0.0,0.636,0.593,0.884,1.0,0.031,0.439,0.75,0.554,0.527,0.293,0.965,0.729,1.345
Victory Lap (feat. Stacy Barthe),Nipsey Hussle,2018-02-16,1,spotify:track:6hkQ6OQ6nhe7QCckH91aGa,0.043,0.538,0.228,0.763,0.0,0.364,0.595,0.931,0.0,0.031,0.251,0.75,0.021,0.397,0.096,0.801,0.729,1.375
Blue Laces 2,Nipsey Hussle,2018-02-16,1,spotify:track:7yB6GF5kgPEoeGE4EAWiJU,0.028,0.504,0.242,0.846,0.0,0.364,0.486,0.884,0.0,0.215,0.17,0.75,0.07,0.513,0.276,0.815,0.729,1.324
Rap Niggas,Nipsey Hussle,2018-02-16,1,spotify:track:5En0gXQk01BaWoT4q2oVbe,0.0,0.444,0.215,0.831,0.0,0.091,0.361,0.903,1.0,0.054,0.567,0.75,0.27,0.424,0.041,0.908,0.729,1.278
Young Nigga (feat. Puff Daddy),Nipsey Hussle,2018-02-16,1,spotify:track:0pBcI8Gf1Oe3ziIbE9tBsX,0.263,0.423,0.226,0.645,0.0,1.0,0.102,0.831,0.0,0.354,0.316,0.75,0.091,0.359,0.1,0.803,0.729,1.266
