track,artist,release,explicit,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,pitches,Timbre,CS,start,Y
Jump Out The Window,Big Sean,2017-02-03,1,spotify:track:1jQsKN68yE94tMYml0wHMd,0.137,0.719,0.201,0.711,0.0,0.091,0.116,0.8,1.0,0.08,0.542,0.75,0.49,0.393,0.089,0.954,0.028,1.881
Light,Big Sean,2017-02-03,1,spotify:track:0URaKGzNTtzKRtsJN1RkA9,0.832,0.427,0.197,0.615,0.0,0.636,0.092,0.822,0.0,0.044,0.232,0.75,0.157,0.393,0.086,0.783,0.028,1.928
Sacrifices,Big Sean,2017-02-03,1,spotify:track:1r0faljjM2b876iNoaDUh5,0.26,0.757,0.282,0.562,0.0,0.909,0.233,0.777,0.0,0.244,0.574,0.75,0.414,0.486,0.224,0.89,0.028,1.916
Owe Me,Big Sean,2017-02-03,1,spotify:track:1u0MOgWF1bbylVxpJG2ZjB,0.443,0.565,0.264,0.613,0.0,0.727,0.099,0.74,1.0,0.129,0.574,0.75,0.396,0.416,0.19,0.971,0.028,1.803
Voices In My Head/Stick To The Plan,Big Sean,2017-02-03,1,spotify:track:2pzuU8vLaG8W1P31X65ZP9,0.142,0.387,0.232,0.543,0.0,0.091,0.484,0.749,1.0,0.221,0.592,0.75,0.107,0.397,0.132,0.864,0.028,1.863
Same Time Pt. 1,Big Sean,2017-02-03,1,spotify:track:7yoe9vbbzakNAXwb1UaWLS,0.713,0.577,0.065,0.488,0.0,0.0,0.27,0.803,0.0,0.245,0.249,0.5,0.726,0.494,0.085,0.739,0.028,1.831
Intro,Big Sean,2017-02-03,1,spotify:track:35k5ePiDMMdacA7jIF9RFY,0.883,0.285,0.037,0.817,0.0,0.727,0.459,0.727,1.0,0.144,0.297,0.5,0.336,0.954,0.146,0.812,0.028,1.574
Sunday Morning Jetpack,Big Sean,2017-02-03,1,spotify:track:5VlstKgCJPHDIMCQO4jHcQ,0.713,0.53,0.213,0.764,0.0,0.909,0.33,0.763,0.0,0.127,0.213,0.75,0.545,0.548,0.079,0.829,0.028,1.746
Bigger Than Me,Big Sean,2017-02-03,1,spotify:track:6zpXc7WJ3TqYWb02B6sKyF,0.271,0.259,0.287,0.644,0.0,0.909,0.285,0.765,0.0,0.083,0.216,1.0,0.149,0.443,0.127,0.793,0.028,1.645
Inspire Me,Big Sean,2017-02-03,1,spotify:track:7M62jxrvr7UJdo6DchAFf3,0.338,0.678,0.195,0.669,0.0,0.455,0.223,0.786,0.0,0.256,0.538,0.75,0.406,0.514,0.145,0.929,0.028,1.589
